DS1-J-0001	関西地方では現在も納豆をあまり食べないのですか?
DS1-J-1011	2013年 (平成25年) の強盗罪の起訴率を教えてください。
DS1-J-1012	ここ数年の日本のごみ排出量について調べています。
DS1-J-1013	23歳の人はいつも何時間くらい睡眠とってますか?
DS1-J-1014	するめいか、剣先いか、あおりいかの月別消費量を調べています。
DS1-J-1015	日本の30代〜80代の人達の年代別結婚率ってやはり結婚してる人の方が多いんですか?
DS1-J-1016	日本人で結婚してる人の割合はどれぐらいですか?
DS1-J-1017	青森県の丘陵地:山地:台地:平地:内水域の比率を教えて下さい。
DS1-J-1018	明治時代に生まれた方で、現在ご存命の方の人数は、推定何人ぐらいいらっしゃるのでしょうか?
DS1-J-1019	北海道の市町村面積ランキングを教えてください
DS1-J-1020	日本で一番犯罪の多い県、少ない県を教えてください。
DS1-J-1021	今、日本にどの位の数の外国人が居るのですか?
DS1-J-1022	軽自動車がもっとも浸透している県は? 
DS1-J-1023	理系の方は大学院までいく人は結構、多いんですか?
DS1-J-1024	2014年の日本人定年後(老後)の平均貯金は幾らですか?
DS1-J-1025	ニート・ひきこもり・無職って、それぞれ現在国内にどれぐらいの人数・割合いるんですか?
DS1-J-1026	日本で 平均すると何秒に1回結婚式があるのでしょうか?
DS1-J-1027	小学生から高校生までの期間で 学習塾に行く人って何パーセントいるんでしょうか? 
DS1-J-1028	現在の日本には20歳の人口がどのくらいいますか?
DS1-J-1029	第1次産業、第2次産業、第3次産業 それぞれの総生産額を知りたいです。
DS1-J-1030	若者の農業離れが最近騒がれていますが、それを裏付けるデータを探しています。
DS1-J-1031	日本において、先に妻が死亡する夫婦は全体の何割ぐらいですか?
DS1-J-1032	売上高1000億円以上の企業数って、日本の全ての企業数の内何%くらいなのでしょうか?
DS1-J-1033	八王子の昼の人口と夜の人口知っている方いたら教えてください。
DS1-J-1034	平成19年度の東京都と大阪府の18歳未満の児童人口を教えて下さい。
DS1-J-1035	日本人は一日どれくらいのタンパク質を食事摂取しているのでしょうか?
DS1-J-1036	直近5年ほどのスマートフォン普及率のデータを探しています。
DS1-J-1037	小学生や成人の腹筋・腕立て伏せ・長座体前屈の平均を教えてください
DS1-J-1038	中食・外食の食品ロス量が増加していることがわかるような統計はありますか?
DS1-J-1039	日本人の就労人口は、何人くらいですか?
DS1-J-1040	1970年~平成5年までの全産業民間固定資本ストック量を探しています。
DS1-J-1041	日本のグランドピアノ所有率は100世帯に1世帯くらいですか?
DS1-J-1042	小学第1学年における保育所修了者の割合は、どれくらいですか?
DS1-J-1043	車の所有者率の資料統計を探しています。
DS1-J-1044	日本全国に無職の人は何人ぐらい居るんですか?
DS1-J-1045	各都道府県の面積に対して平野の割合が多い都道府県の上位と下位はどこなのでしょうか?
DS1-J-1046	老人医療費が医療費全体に占める割合が高いのは本当でしょうか?
DS1-J-1047	1973年のオイルショックや湾岸戦争のときは1リットルあたりでどのくらいだったのですか?
DS1-J-1048	日本で一年に亡くなる子どもは何人ぐらいですか?
DS1-J-1049	家庭ごみの1人1日の排出量は平均するとどのくらいでしょうか
DS1-J-1050	東京の四年制大学への進学率と全国の四年制大学への進学率を教えて下さい。
DS1-J-1051	趣味人口で最も多いのは音楽鑑賞でしょうか
DS1-J-1052	都道府県別の有効求人倍率をおしえてください。
DS1-J-1053	多くの平均的な国民の資産は大体どのくらいなものでしょうか。
DS1-J-1054	日本の企業数と就業人数はどのくらいでしょうか?
DS1-J-1055	現在日本に会社と呼ばれるものはどのくらい在るのでしょうか。
DS1-J-1056	日本の漁獲高データが詳しくのってあるページを教えてください。
DS1-J-1057	干支のなかで、一番人口の多い(日本で) 干支って、なんでしょうか?
DS1-J-1058	通信制高校に通う人の年齢層ってどんな感じですか?
DS1-J-1059	死因のトップはなんですか。
DS1-J-1060	奈良県の人って、日本で一番県外へ働きに出てるのですか?
DS1-J-1061	都道府県別に既存で建っているマンションの「棟数」の調べ方を教えてください。
DS1-J-1062	“帰国子女"の日本人はどれぐらいいますか?
DS1-J-1063	2007年の時点で 福岡・鳥取・広島・愛媛・佐賀で工業出荷額が多い順 米の生産額の多い順 を教えてください
DS1-J-1064	遺失物横領罪って検挙率はいくつぐらいですか?
DS1-J-1065	日本で未成年は何人いる?
DS1-J-1066	中国地方のコンビニや百貨店などの床面積の合計を教えてください。
DS1-J-1067	外傷患者における,部位別死亡率について著されているデータなどはありますか?
DS1-J-1068	大学の進学率ってどのくらいなんですか?
DS1-J-1069	「パンの食費がお米を超えた」というニュースの根拠について教えてください
DS1-J-1070	まつたけの生産量が日本一の都道府県は どこですか?
DS1-J-1071	日本全国に、小学生と中学生(小1~中3)は何百万人または何千万人いるでしょうか?
DS1-J-1072	経済破綻など経済状況を市町村ごとに見れる統計データはありますか?
DS1-J-1073	10万人以上の人口市におけるガン死亡率の表はありますか
DS1-J-1074	日本の神社の数はどれくらいですか?
DS1-J-1075	共働きの世帯収入が記載されている国や市役所などの統計はありますでしょうか?
DS1-J-1076	銭湯のピークはいつ頃で何軒くらいあったんですか?
DS1-J-1077	47都道府県の年間予算が載ったページを教えて下さい
DS1-J-1078	私はバスや車の利用率のグラフか表を探しています
DS1-J-1079	協会けんぽと組合健保の加盟者数の割合はどちらが大きいですか?
DS1-J-1080	日本の牛乳の食料自給率をカロリーベースで教えてください。
DS1-J-1081	1950年代から2017年現在の年間不登校者数の表はありますか?
DS1-J-1082	男性が、生まれてから成人になるまでの生存率は何パーセントですか?
DS1-J-1083	スポーツの競技人口ってどうやって調べてたらよいでしょうか。
DS1-J-1084	日本の水泳人口はおよそどのくらいでしょうか。
DS1-J-1085	今現在の日本全国の警察署の数を詳しく教えてください。
DS1-J-1086	都道府県別の年間休日数の平均値が載っているページを探しています
DS1-J-1087	日本で 喫煙してる人って 全体の 何%ですか?
DS1-J-1088	20~30代の方、住宅ローンはいくら借りましたか?
DS1-J-1089	各都道府県または各地方の物価などが分かる統計はありますか?
DS1-J-1090	うなぎの養殖日本一は鹿児島県がダントツ一位なんですか?
DS1-J-1091	サイクリストとライダーとでは、どちらの交通事故死が多いですか?
DS1-J-1092	花粉は東日本と西日本ではどちらが多いと思いますか?
DS1-J-1093	日本の離婚率は昔と比べて増えているのしょうか?
DS1-J-1094	日本国内で「株式会社」というのはどのくらいあるのですか?
DS1-J-1095	日本の公務員のうち警察官、公立教師、自衛隊員で公務員の80%くらいですか?
DS1-J-1096	日本の社会人(会社勤め)の方の通勤手段は 車通勤と公共交通機関通勤どっちが多いですか?
