DS1-E-1086	I am looking for web sites on the average number of annual holidays by state.
DS1-E-1087	What persentage of people regularly smoke in the United States?
DS1-E-1088	For 20s and 30s, how much did you recieve a housing loan from bank?
DS1-E-1089	Are there any statistics that show commodity prices by state?
DS1-E-1090	Does Hawaii produce the most abalone in the United States?
DS1-E-1091	Which has the higher risk of traffic death, cyclists or riders?
DS1-E-1092	Which is more wildfire, on the east or west coasts?
DS1-E-1093	Is the divorce rate in the United States increasing when compared to the past?
DS1-E-1094	How many "stock companies" are there in the United States?
DS1-E-1095	Do police officers, public teachers and military members constitute about 80% of American civil servants?
DS1-E-1096	Which is the more popular comute option for company workers in the United States, by car or by public transportation?
